Sensorname,timestamp,distanceToWaterInMM,timestampInUTC
2SB,1781762089912,2714,2026-06-18T05:54:49.912Z
2SB,1781762091976,713,2026-06-18T05:54:51.976Z
2SB,1781762093722,655,2026-06-18T05:54:53.722Z
2SB,1781762103814,0,2026-06-18T05:55:03.814Z
2SB,1781762107900,0,2026-06-18T05:55:07.900Z
2SB,1781762110017,1078,2026-06-18T05:55:10.017Z
2SB,1781762111725,2053,2026-06-18T05:55:11.725Z
2SB,1781762117918,4441,2026-06-18T05:55:17.918Z
2SB,1781762120019,3918,2026-06-18T05:55:20.019Z
2SB,1781762121791,3415,2026-06-18T05:55:21.791Z
2SB,1781762123918,2908,2026-06-18T05:55:23.918Z
2SB,1781762128027,1911,2026-06-18T05:55:28.027Z
2SB,1781762130027,1407,2026-06-18T05:55:30.027Z
2SB,1781762131834,1040,2026-06-18T05:55:31.834Z
2SB,1781762133933,582,2026-06-18T05:55:33.933Z
2SB,1781762136028,0,2026-06-18T05:55:36.028Z
2SB,1781762140025,542,2026-06-18T05:55:40.025Z
2SB,1781762142129,780,2026-06-18T05:55:42.129Z
2SB,1781762143833,1141,2026-06-18T05:55:43.833Z
2SB,1781762146022,4476,2026-06-18T05:55:46.022Z
2SB,1781762148037,5724,2026-06-18T05:55:48.037Z
2SB,1781762150132,0,2026-06-18T05:55:50.132Z
2SB,1781762154025,4592,2026-06-18T05:55:54.025Z
2SB,1781762156030,2417,2026-06-18T05:55:56.030Z
2SB,1781762158130,0,2026-06-18T05:55:58.130Z
2SB,1781762160121,0,2026-06-18T05:56:00.121Z
2SB,1781762162218,0,2026-06-18T05:56:02.218Z
2SB,1781762163947,0,2026-06-18T05:56:03.947Z
2SB,1781762166044,689,2026-06-18T05:56:06.044Z
2SB,1781762168145,1861,2026-06-18T05:56:08.145Z
2SB,1781762170150,2890,2026-06-18T05:56:10.150Z
2SB,1781762172234,588,2026-06-18T05:56:12.234Z
2SB,1781762173943,0,2026-06-18T05:56:13.943Z
1BB,1781762174134,2488,2026-06-18T05:56:14.134Z
1BB,1781762176117,458,2026-06-18T05:56:16.117Z
2SB,1781762176133,0,2026-06-18T05:56:16.133Z
1SB,1781762176133,3823,2026-06-18T05:56:16.133Z
2SB,1781762178134,320,2026-06-18T05:56:18.134Z
1SB,1781762178201,319,2026-06-18T05:56:18.201Z
2SB,1781762180238,344,2026-06-18T05:56:20.238Z
2SB,1781762182234,140,2026-06-18T05:56:22.234Z
1BB,1781762184321,85,2026-06-18T05:56:24.321Z
2SB,1781762184334,108,2026-06-18T05:56:24.334Z
2SB,1781762186055,101,2026-06-18T05:56:26.055Z
2SB,1781762188241,438,2026-06-18T05:56:28.241Z
2SB,1781762190225,319,2026-06-18T05:56:30.225Z
2SB,1781762192335,1517,2026-06-18T05:56:32.335Z
2SB,1781762194345,2905,2026-06-18T05:56:34.345Z
2SB,1781762196149,4071,2026-06-18T05:56:36.149Z
2SB,1781762198244,4164,2026-06-18T05:56:38.244Z
2SB,1781762200240,1874,2026-06-18T05:56:40.240Z
2SB,1781762202333,0,2026-06-18T05:56:42.333Z
2SB,1781762204433,0,2026-06-18T05:56:44.433Z
2SB,1781762206192,0,2026-06-18T05:56:46.192Z
2SB,1781762208232,0,2026-06-18T05:56:48.232Z
2SB,1781762212359,5196,2026-06-18T05:56:52.359Z
2SB,1781762214437,2916,2026-06-18T05:56:54.437Z
2SB,1781762216433,752,2026-06-18T05:56:56.433Z
2SB,1781762224440,1373,2026-06-18T05:57:04.440Z
2SB,1781762228351,3351,2026-06-18T05:57:08.351Z
2SB,1781762230343,2487,2026-06-18T05:57:10.343Z
2SB,1781762232445,534,2026-06-18T05:57:12.445Z
2SB,1781762246536,1057,2026-06-18T05:57:26.536Z
2SB,1781762248630,1344,2026-06-18T05:57:28.630Z
2SB,1781762250356,1363,2026-06-18T05:57:30.356Z
2SB,1781762252542,3356,2026-06-18T05:57:32.542Z
2SB,1781762254541,3355,2026-06-18T05:57:34.541Z
2SB,1781762256634,3355,2026-06-18T05:57:36.634Z
2SB,1781762258634,3355,2026-06-18T05:57:38.634Z
2SB,1781762260738,3368,2026-06-18T05:57:40.738Z
2SB,1781762264635,501,2026-06-18T05:57:44.635Z
2SB,1781762266631,1698,2026-06-18T05:57:46.631Z
2SB,1781762268637,1232,2026-06-18T05:57:48.637Z
2SB,1781762270735,2677,2026-06-18T05:57:50.735Z
2SB,1781762272451,2503,2026-06-18T05:57:52.451Z
2SB,1781762274647,2155,2026-06-18T05:57:54.647Z
2SB,1781762276639,1914,2026-06-18T05:57:56.639Z
2SB,1781762278736,1593,2026-06-18T05:57:58.736Z
2SB,1781762280738,563,2026-06-18T05:58:00.738Z
2SB,1781762286738,461,2026-06-18T05:58:06.738Z
2SB,1781762288735,3361,2026-06-18T05:58:08.735Z
2SB,1781762292838,451,2026-06-18T05:58:12.838Z
2SB,1781762294651,1333,2026-06-18T05:58:14.651Z
2SB,1781762296748,2520,2026-06-18T05:58:16.748Z
2SB,1781762298837,3012,2026-06-18T05:58:18.837Z
2SB,1781762300842,2847,2026-06-18T05:58:20.842Z
2SB,1781762302947,2922,2026-06-18T05:58:22.947Z
2SB,1781762304930,2900,2026-06-18T05:58:24.930Z
2SB,1781762308843,2733,2026-06-18T05:58:28.843Z
2SB,1781762310832,1883,2026-06-18T05:58:30.832Z
2SB,1781762312939,1310,2026-06-18T05:58:32.939Z
2SB,1781762314930,0,2026-06-18T05:58:34.930Z
2SB,1781762316735,0,2026-06-18T05:58:36.735Z
2SB,1781762318835,588,2026-06-18T05:58:38.835Z
2SB,1781762320943,2087,2026-06-18T05:58:40.943Z
2SB,1781762322939,3476,2026-06-18T05:58:42.939Z
2SB,1781762325028,3667,2026-06-18T05:58:45.028Z
2SB,1781762326744,2077,2026-06-18T05:58:46.744Z
2SB,1781762328928,3242,2026-06-18T05:58:48.928Z
2SB,1781762333031,1741,2026-06-18T05:58:53.031Z
2SB,1781762336930,1399,2026-06-18T05:58:56.930Z
2SB,1781762338934,1311,2026-06-18T05:58:58.934Z
2SB,1781762340932,1337,2026-06-18T05:59:00.932Z
2SB,1781762345041,1221,2026-06-18T05:59:05.041Z
2SB,1781762348935,1214,2026-06-18T05:59:08.935Z
2SB,1781762351025,861,2026-06-18T05:59:11.025Z
2SB,1781762353028,3359,2026-06-18T05:59:13.028Z
2SB,1781762356936,795,2026-06-18T05:59:16.936Z
2SB,1781762361024,3356,2026-06-18T05:59:21.024Z
2SB,1781762363130,1352,2026-06-18T05:59:23.130Z
2SB,1781762365135,1401,2026-06-18T05:59:25.135Z
2SB,1781762366938,734,2026-06-18T05:59:26.938Z
2SB,1781762369037,2436,2026-06-18T05:59:29.037Z
2SB,1781762371124,3352,2026-06-18T05:59:31.124Z
2SB,1781762373122,3356,2026-06-18T05:59:33.122Z
2SB,1781762375215,3359,2026-06-18T05:59:35.215Z
2SB,1781762377228,3354,2026-06-18T05:59:37.228Z
2SB,1781762381130,3291,2026-06-18T05:59:41.130Z
2SB,1781762383127,1388,2026-06-18T05:59:43.127Z
2SB,1781762385222,0,2026-06-18T05:59:45.222Z
2SB,1781762389312,766,2026-06-18T05:59:49.312Z
2SB,1781762391036,1870,2026-06-18T05:59:51.036Z
2SB,1781762395214,2819,2026-06-18T05:59:55.214Z
2SB,1781762399310,0,2026-06-18T05:59:59.310Z
